Mod:Item:MetaData, Localized Name
ic2:diamond_drill, ic2.diamond_drill.name
ic2:drill, ic2.drill.name
ic2:electric_hoe, ic2.electric_hoe.name
ic2:electric_treetap, ic2.electric_treetap.name
ic2:electric_wrench, ic2.electric_wrench.name
ic2:iridium_drill, ic2.iridium_drill.name
ic2:mining_laser, ic2.mining_laser.name
ic2:nano_saber, ic2.nano_saber.name
ic2:obscurator, ic2.obscurator.name
ic2:scanner, ic2.scanner.name
ic2:wind_meter, ic2.wind_meter.name
ic2:painter:0, Валик
ic2:painter:0, Чёрный валик
ic2:painter:0, Синий валик
ic2:painter:0, Коричневый валик
ic2:painter:0, Бирюзовый валик
ic2:painter:0, Тёмно-серый валик
ic2:painter:0, Зелёный валик
ic2:painter:0, Голубой валик
ic2:painter:0, Светло-серый валик
ic2:painter:0, Лаймовый валик
ic2:painter:0, Сиреневый валик
ic2:painter:0, Оранжевый валик
ic2:painter:0, Розовый валик
ic2:painter:0, Фиолетовый валик
ic2:painter:0, Красный валик
ic2:painter:0, Белый валик
ic2:painter:0, Жёлтый валик
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:fluid_cell:0, Универсальная жидкостная капсула
ic2:cable:0, Медный провод
ic2:cable:0, Изолированный медный провод
ic2:cable:1, Стекловолоконный провод
ic2:cable:2, Золотой провод
ic2:cable:2, Изолированный золотой провод
ic2:cable:2, Золотой провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод
ic2:cable:3, Изолированный высоковольтный провод
ic2:cable:3, Высоковольтный провод с двойной изоляцией
ic2:cable:3, Высоковольтный провод с тройной изоляцией
ic2:cable:4, Оловянный провод
ic2:cable:4, Изолированный оловянный провод
ic2:cable:5, Провод-детектор
ic2:cable:6, Провод-разъединитель
ic2:upgrade:0, Улучшение "Ускоритель"
ic2:upgrade:1, Улучшение "Трансформатор"
ic2:upgrade:2, Улучшение "Энергохранитель"
ic2:upgrade:3, Улучшение "Инвертор сигнала красного камня"
ic2:upgrade:4, Улучшение "Выталкиватель"
ic2:upgrade:5, Улучшение "Улучшенный выталкиватель"
ic2:upgrade:6, Улучшение "Затягиватель"
ic2:upgrade:7, Улучшение "Улучшенный затягиватель"
ic2:upgrade:8, Улучшение "Выталкиватель жидкостей"
ic2:upgrade:9, Улучшение "Затягиватель жидкостей"
ic2:upgrade:10, Remote Interface Upgrade
ic2:filled_tin_can, ic2.filled_tin_can.name
ic2:filled_fuel_can, ic2.filled_fuel_can.name
ic2:iodine_tablet, ic2.iodine_tablet.name
ic2:crystal_memory, ic2.crystal_memory.name
ic2:rotor_wood, ic2.rotor_wood.name
ic2:rotor_bronze, ic2.rotor_bronze.name
ic2:rotor_iron, ic2.rotor_iron.name
ic2:rotor_steel, ic2.rotor_steel.name
ic2:rotor_carbon, ic2.rotor_carbon.name
ic2:dynamite, ic2.dynamite.name
ic2:dynamite_sticky, ic2.dynamite_sticky.name
ic2:remote, ic2.remote.name
ic2:pipe:0, Тонкая бронзовая труба
ic2:pipe:0, Малая бронзовая труба
ic2:pipe:0, Средняя бронзовая труба
ic2:pipe:0, Большая бронзовая труба
ic2:pipe:1, Тонкая стальная труба
ic2:pipe:1, Малая стальная труба
ic2:pipe:1, Средняя стальная труба
ic2:pipe:1, Большая стальная труба
ic2:cover:0, Накладной насос низкого напряжения
ic2:cover:1, Накладной насос среднего напряжения
ic2:coke, ic2.coke.name
advanced_machines:sharp_plate, advanced_machines.sharp_plate.name
advanced_solar_panels:advancedsolarhelmet, advanced_solar_panels.solar_helmets.advanced.name
advanced_solar_panels:hybridsolarhelmet, advanced_solar_panels.solar_helmets.hybrid.name
advanced_solar_panels:ultimatesolarhelmet, advanced_solar_panels.solar_helmets.ultimate.name
advanced_solar_panels:crafting:0, Саннариум
advanced_solar_panels:crafting:1, Часть саннариума
advanced_solar_panels:crafting:2, Сплав саннариума
advanced_solar_panels:crafting:3, Излучающий уран
advanced_solar_panels:crafting:4, Обогащённый саннариум
advanced_solar_panels:crafting:5, Сплав обогащённого саннариума
advanced_solar_panels:crafting:6, Излучающая стеклянная панель
advanced_solar_panels:crafting:7, Иридиевая-железная пластина
advanced_solar_panels:crafting:8, Укреплённая иридиевая-железная пластина
advanced_solar_panels:crafting:9, Излучающая укреплённая пластина
advanced_solar_panels:crafting:10, Слиток иридия
advanced_solar_panels:crafting:11, Слиток урана
advanced_solar_panels:crafting:12, MT-ядро
advanced_solar_panels:crafting:13, Квантовое ядро
advanced_solar_panels:double_stone_slab, Каменная плита
betternether:block_eyeball, Блок глаза
betternether:block_eyeball_small, Маленький блок глаза
betternether:eye_seed, Глазное семечко
betternether:netherrack_moss, Мох нижнего мира
betternether:nether_grass, Трава нижнего мира
betternether:nether_reed, Тростник нижнего мира
betternether:stalagnate_stem, Сталагнат
betternether:stalagnate_seed, Семя сталагната
betternether:stalagnate_bark, Кора сталагната
betternether:stalagnate_planks, Сталагнатовые доски
betternether:stalagnate_planks_stairs, Сталагнатовые ступени
betternether:stalagnate_planks_slab_half:0, Сталагнатовая плита
betternether:stalagnate_planks_fence, Сталагнатовый забор
betternether:stalagnate_planks_gate, Сталагнатовые ворота
betternether:stalagnate_planks_button, Сталагнатовая кнопка
betternether:stalagnate_planks_plate, Сталагнатовая нажимная плита
betternether:reeds_block, Тростниковый блок
betternether:reeds_stairs, Тростниковые ступени
betternether:reeds_slab_half:0, Тростниковая плита
betternether:reeds_fence, Тростниковый забор
betternether:reeds_gate, Тростниковые ворота
betternether:reeds_button, Тростниковая кнопка
betternether:reeds_plate, Тростниковая нажимная плита
betternether:lucis_spore, Спора люциса
betternether:nether_cactus, Кактус нижнего мира
betternether:wart_seed, Семя нароста
betternether:barrel_cactus, Бочковидный кактус
betternether:agave, Агава
betternether:black_bush, Чёрный куст
betternether:ink_bush_seed, Семя чернильного куста
betternether:smoker, Курильщик
betternether:egg_plant, Яйцевидное растение
betternether:black_apple_seed, Семя чёрного яблока
betternether:magma_flower, Семя магмового цветка
betternether:nether_mycelium, Мицелий нижнего мира
betternether:orange_mushroom, Оранжевый гриб
betternether:red_mold, Красная плесень
betternether:gray_mold, Серая плесень
betternether:cincinnasite_ore, Цинцинназитовая руда
betternether:cincinnasite_block, Цинцинназитовый блок
betternether:cincinnasite_forged, Сплавленный цинцинназитовый блок
betternether:cincinnasite_pillar, Цинцинназитовая колонна
betternether:cincinnasite_bricks, Цинцинназитовые кирпичи
betternether:cincinnasite_brick_plate, Цинцинназитовая кирпичная плита
betternether:cincinnasite_stairs, Цинцинназитовые ступени
betternether:cincinnasite_slab_half:0, Цинцинназитовая плита
betternether:cincinnasite_button, Цинцинназитовая кнопка
betternether:cincinnasite_plate, Цинцинназитовая нажимная плита
betternether:cincinnasite_lantern, Цинцинназитовый фонарь
betternether:cincinnasite_tile_large, Большая цинцинназитовая плитка
betternether:cincinnasite_tile_small, Маленькая цинцинназитовая плитка
betternether:cincinnasite_carved, Резной цинцинназит
betternether:nether_brick_tile_large, Большая плитка из кирпича нижнего мира
betternether:nether_brick_tile_small, Маленькая плитка из кирпича нижнего мира
betternether:cincinnasite_wall, Цинцинназитовая стена
betternether:bone_block, Костный блок
betternether:bone_stairs, Костяные ступени
betternether:bone_slab_half:0, Костяная плита
betternether:bone_button, Костяная кнопка
betternether:bone_plate, Костяная нажимная плита
betternether:cincinnasite_fire_bowl, Цинцинназитовая огненная чаша
betternether:bone_wall, Костяная стена
betternether:nether_brick_wall, Стена из кирпича нижнего мира
betternether:nether_brick_tile_slab_half:0, Плита из маленькой плитки
betternether:nether_brick_tile_stairs, Ступени из маленькой плитки
betternether:bone_mushroom, Споры костяного гриба
betternether:reeds_ladder, Тростниковая лестница
betternether:cincinnasite_bricks_pillar, Колонна из цинцинназитового кирпича
betternether:bone_tile, Костяная плитка
betternether:cincinnasite_pedestal, Цинцинназитовый пьедестал
betternether:pig_statue_01, Статуя возрождения
betternether:cincinnasite_pot, Цинцинназитовый горшок
betternether:cincinnasite_frame, Цинцинназитовая рамка
betternether:quartz_glass, Кварцевое стекло
betternether:quartz_glass_framed, Кварцевое стекло в рамке
betternether:quartz_stained_glass:0, Белое кварцевое стекло
betternether:quartz_stained_glass:1, Оранжевое кварцевое стекло
betternether:quartz_stained_glass:2, Фиолетовое кварцевое стекло
betternether:quartz_stained_glass:3, Голубое кварцевое стекло
betternether:quartz_stained_glass:4, Жёлтое кварцевое стекло
betternether:quartz_stained_glass:5, Лаймовое кварцевое стекло
betternether:quartz_stained_glass:6, Розовое кварцевое стекло
betternether:quartz_stained_glass:7, Серое кварцевое стекло
betternether:quartz_stained_glass:8, Светло-серое кварцевое стекло
betternether:quartz_stained_glass:9, Бирюзовое кварцевое стекло
betternether:quartz_stained_glass:10, Пурпурное кварцевое стекло
betternether:quartz_stained_glass:11, Синее кварцевое стекло
betternether:quartz_stained_glass:12, Коричневое кварцевое стекло
betternether:quartz_stained_glass:13, Зелёное кварцевое стекло
betternether:quartz_stained_glass:14, Красное кварцевое стекло
betternether:quartz_stained_glass:15, Чёрное кварцевое стекло
betternether:cincinnasite_bars, Цинцинназитовая решётка
betternether:quartz_glass_pane, Панель из кварцевого стекла
betternether:quartz_glass_framed_pane, Панель из кварцевого стекла в рамке
betternether:cincinnasite_forge, Цинцинназитовая печь
betternether:netherrack_furnace, Печь из камня нижнего мира
betternether:bone_reed_door, Костяно-тростниковая дверь
betternether:bone_cincinnasite_door, Костяно-цинцинназитовая дверь
betternether:quartz_stained_glass_framed:0, Белое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:1, Оранжевое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:2, Фиолетовое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:3, Голубое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:4, Жёлтое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:5, Лаймовое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:6, Розовое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:7, Серое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:8, Светло-серое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:9, Бирюзовое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:10, Пурпурное кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:11, Синее кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:12, Коричневое кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:13, Зелёное кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:14, Красное кварцевое стекло в рамке
betternether:quartz_stained_glass_framed:15, Чёрное кварцевое стекло в рамке
betternether:chest_of_drawers, tile.chest_of_drawers.name
betternether:black_apple, Чёрное яблоко
betternether:cincinnasite, Цинцинназит
betternether:cincinnasite_pickaxe, Цинцинназитовая кирка
betternether:cincinnasite_pickaxe_diamond, Цинцинназитово-алмазная кирка
betternether:stalagnate_bowl, Сталагнатовая миска
betternether:stalagnate_bowl_wart, Суп из наростов
betternether:stalagnate_bowl_mushroom, Грибной суп
betternether:stalagnate_bowl_apple, Чёрное яблоко
betternether:cincinnasite_axe, Цинцинназитовый топор
betternether:cincinnasite_axe_diamond, Цинцинназитово-алмазный топор
biomesoplenty:grass:0, Спектральный Мох
biomesoplenty:grass:1, Заросший Камень
biomesoplenty:grass:2, Глинистый Блок Травы
biomesoplenty:grass:3, Песчаный Блок Травы
biomesoplenty:grass:4, Илистый Блок Травы
biomesoplenty:grass:5, Изначальный Блок Травы
biomesoplenty:grass:6, Заросший Адский Камень
biomesoplenty:grass:7, Цветущий Блок Травы
biomesoplenty:grass:8, Мицелиевый Адский Камень
biomesoplenty:dirt:8, Грубая Глинистая Земля
biomesoplenty:dirt:0, Глинистая Земля
biomesoplenty:dirt:9, Грубая Песчаная Земля
biomesoplenty:dirt:1, Песчаная Земля
biomesoplenty:dirt:10, Грубая Илистая Земля
biomesoplenty:dirt:2, Илистая Земля
biomesoplenty:grass_path:0, Глинистая Тропинка
biomesoplenty:grass_path:1, Песчаная Тропинка
biomesoplenty:grass_path:2, Илистая Тропинка
biomesoplenty:farmland_0:0, Глинистая Пашня
biomesoplenty:farmland_0:1, Песчаная Пашня
biomesoplenty:farmland_1:0, Илистая Пашня
biomesoplenty:white_sand:0, Белый Песок
biomesoplenty:white_sandstone:0, Белый Песчаник
biomesoplenty:white_sandstone:1, Резной Белый Песчаник
biomesoplenty:white_sandstone:2, Гладкий Белый Песчаник
biomesoplenty:white_sandstone_stairs:0, Ступеньки из Белого Песчаника
biomesoplenty:dried_sand:0, Сухой Песок
biomesoplenty:hard_ice:0, Затвердевший Лёд
biomesoplenty:ash_block:0, Пепельный Блок
biomesoplenty:mud:0, Грязь
biomesoplenty:flesh:0, Плоть
biomesoplenty:crystal:0, Небесный Кристалл
biomesoplenty:biome_block:0, Руда Эссенции Биома
biomesoplenty:gem_ore:0, Аметистовая Руда из Края
biomesoplenty:gem_ore:1, Рубиновая Руда
biomesoplenty:gem_ore:2, Хризолитовая Руда
biomesoplenty:gem_ore:3, Топазовая Руда
biomesoplenty:gem_ore:4, Танзанитовая Руда
biomesoplenty:gem_ore:5, Малахитовая Руда
biomesoplenty:gem_ore:6, Сапфировая Руда
biomesoplenty:gem_ore:7, Янтарная Руда
biomesoplenty:gem_block:0, Блок Аметиста
biomesoplenty:gem_block:1, Блок Рубина
biomesoplenty:gem_block:2, Блок Хризолита
biomesoplenty:gem_block:3, Блок Топаза
biomesoplenty:gem_block:4, Блок Танзанита
biomesoplenty:gem_block:5, Блок Малахита
biomesoplenty:gem_block:6, Блок Сапфира
biomesoplenty:gem_block:7, Блок Янтаря
biomesoplenty:hive:0, Блок Улья
biomesoplenty:hive:1, Блок Медового Сота
biomesoplenty:hive:2, Пустой Блок Медового Сота
biomesoplenty:hive:3, Заполненный Блок Медового Сота
biomesoplenty:honey_block:0, Медовый Блок
biomesoplenty:blue_fire:0, Синий Огонёк
biomesoplenty:bamboo_thatching:0, Бамбуковая Солома
biomesoplenty:mud_brick_block:0, Кирпичи из Грязи
biomesoplenty:mud_brick_stairs:0, Ступеньки из Грязи
biomesoplenty:other_slab:0, Плитка из Грязи
biomesoplenty:other_slab:1, Плита из Белого Песчаника
biomesoplenty:log_0:4, Священный Дуб
biomesoplenty:log_0:5, Вишнёвое Дерево
biomesoplenty:log_0:6, Теневое Дерево
biomesoplenty:log_0:7, Пихта
biomesoplenty:log_1:4, Эфирное Дерево
biomesoplenty:log_1:5, Магическое Дерево
biomesoplenty:log_1:6, Мангровое Дерево
biomesoplenty:log_1:7, Пальма
biomesoplenty:log_2:4, Красное Дерево
biomesoplenty:log_2:5, Ива
biomesoplenty:log_2:6, Сосна
biomesoplenty:log_2:7, Адское Дерево
biomesoplenty:log_3:4, Жакаранда
biomesoplenty:log_3:5, Махагони
biomesoplenty:log_3:6, Эбеновое Дерево
biomesoplenty:log_3:7, Эвкалипт
biomesoplenty:log_4:4, Стебель Гигантского Цветка
biomesoplenty:log_4:5, Мёртвое Дерево
biomesoplenty:leaves_0:8, Пожелтевшие Осенние Листья
biomesoplenty:leaves_0:9, Покрасневшие Осенние Листья
biomesoplenty:leaves_0:10, Бамбуковые Листья
biomesoplenty:leaves_0:11, Магические Листья
biomesoplenty:leaves_1:8, Теневые Листья
biomesoplenty:leaves_1:9, Мертвые Листья
biomesoplenty:leaves_1:10, Пихтовые Листья
biomesoplenty:leaves_1:11, Эфирные Листья
biomesoplenty:leaves_2:8, Изначальные Листья
biomesoplenty:leaves_2:9, Розовые Вишнёвые Листья
biomesoplenty:leaves_2:10, Белые Вишнёвые Листья
biomesoplenty:leaves_2:11, Клёновые Листья
biomesoplenty:leaves_3:8, Листья Адского Дерева
biomesoplenty:leaves_3:9, Листья Цветущий Дуба
biomesoplenty:leaves_3:10, Жакарандовые Листья
biomesoplenty:leaves_3:11, Листья Священного Дуба
biomesoplenty:leaves_4:8, Мангровые Листья
biomesoplenty:leaves_4:9, Пальмовые Листья
biomesoplenty:leaves_4:10, Листья Красного Дерева
biomesoplenty:leaves_4:11, Ивовые Листья
biomesoplenty:leaves_5:8, Сосновые Листья
biomesoplenty:leaves_5:9, Махагоневые Листья
biomesoplenty:leaves_5:10, Эбеновые Листья
biomesoplenty:leaves_5:11, Эвкалиптовые Листья
biomesoplenty:leaves_6:8, Лепесток Красного Гигантского Цветка
biomesoplenty:leaves_6:9, Лепесток Жёлтого Гигантского Цветка
biomesoplenty:planks_0:0, Доски из Священного Дуба
biomesoplenty:planks_0:1, Вишнёвые Доски
biomesoplenty:planks_0:2, Теневые Доски
biomesoplenty:planks_0:3, Пихтовые Доски
biomesoplenty:planks_0:4, Эфирные Доски
biomesoplenty:planks_0:5, Магические Доски
biomesoplenty:planks_0:6, Мангровые Доски
biomesoplenty:planks_0:7, Пальмовые Доски
biomesoplenty:planks_0:8, Доски из Красного Дерева
biomesoplenty:planks_0:9, Ивовые Доски
biomesoplenty:planks_0:10, Сосновые Доски
biomesoplenty:planks_0:11, Доски из Адского Дерева
biomesoplenty:planks_0:12, Жакарандовые Доски
biomesoplenty:planks_0:13, Махагоновые Доски
biomesoplenty:planks_0:14, Эбеновые Доски
biomesoplenty:planks_0:15, Эвкалиптовые Доски
biomesoplenty:sacred_oak_stairs:0, Ступеньки из Священного Дуба
biomesoplenty:cherry_stairs:0, Лестница Вишнёвого Дерева
biomesoplenty:umbran_stairs:0, Теневые Ступеньки
biomesoplenty:fir_stairs:0, Пихтовые Ступеньки
biomesoplenty:ethereal_stairs:0, Эфирные Ступеньки
biomesoplenty:magic_stairs:0, Ступеньки из Магического Дерева
biomesoplenty:mangrove_stairs:0, Мангровые Ступеньки
biomesoplenty:palm_stairs:0, Пальмовые Ступеньки
biomesoplenty:redwood_stairs:0, Ступеньки из Красного Дерева
biomesoplenty:willow_stairs:0, Ивовые Ступеньки
biomesoplenty:pine_stairs:0, Сосновые Ступеньки
biomesoplenty:hellbark_stairs:0, Ступеньки из Адского Дерева
biomesoplenty:jacaranda_stairs:0, Жакарандовые Ступеньки
biomesoplenty:mahogany_stairs:0, Махагоновые Ступеньки
biomesoplenty:ebony_stairs:0, Эбеновые Ступеньки
biomesoplenty:eucalyptus_stairs:0, Эвкалиптовые Ступеньки
biomesoplenty:wood_slab_0:0, Плита из Священного Дуба
biomesoplenty:wood_slab_0:1, Плита Вишнёвого Дерева
biomesoplenty:wood_slab_0:2, Теневая Плитка
biomesoplenty:wood_slab_0:3, Пихтовый Плитка
biomesoplenty:wood_slab_0:4, Эфирная Плитка
biomesoplenty:wood_slab_0:5, Плита из Магического Дерева
biomesoplenty:wood_slab_0:6, Мангровая Плитка
biomesoplenty:wood_slab_0:7, Пальмовая Плитка
biomesoplenty:wood_slab_1:0, Плитка из Красного Дерева
biomesoplenty:wood_slab_1:1, Ивоваа Плитка
biomesoplenty:wood_slab_1:2, Сосновая Плитка
biomesoplenty:wood_slab_1:3, Плита из Адского Дерева
biomesoplenty:wood_slab_1:4, Жакарандовая Плитка
biomesoplenty:wood_slab_1:5, Махагоновая Плитка
biomesoplenty:wood_slab_1:6, Эбоновая Плитка
biomesoplenty:wood_slab_1:7, Эвкалиптовая Плитка
biomesoplenty:sacred_oak_fence:0, Забор из Священного Дуба
biomesoplenty:cherry_fence:0, Вишнёвый Забор
biomesoplenty:umbran_fence:0, Теневой Забор
biomesoplenty:fir_fence:0, Пихтовый Забор
biomesoplenty:ethereal_fence:0, Эфирный Забор
biomesoplenty:magic_fence:0, Забор из Магического Дерева
biomesoplenty:mangrove_fence:0, Мангровый Забор
biomesoplenty:palm_fence:0, Пальмовый Забор
biomesoplenty:redwood_fence:0, Забор из Красного Дерева
biomesoplenty:willow_fence:0, Ивовый Забор
biomesoplenty:pine_fence:0, Сосновый Забор
biomesoplenty:hellbark_fence:0, Забор из Адского Дерева
biomesoplenty:jacaranda_fence:0, Жакарандовый Забор
biomesoplenty:mahogany_fence:0, Махагоновый Забор
biomesoplenty:ebony_fence:0, Забор из Эбенового Дерева
biomesoplenty:eucalyptus_fence:0, Эвкалиптовый Забор
biomesoplenty:sacred_oak_fence_gate:0, Калитка из Священного Дуба
biomesoplenty:cherry_fence_gate:0, Вишнёвая Калитка
biomesoplenty:umbran_fence_gate:0, Теневая Калитка
biomesoplenty:fir_fence_gate:0, Пихтовая Калитка
biomesoplenty:ethereal_fence_gate:0, Эфирная Калитка
biomesoplenty:magic_fence_gate:0, Калитка из Магического Дерева
biomesoplenty:mangrove_fence_gate:0, Мангровая Калитка
biomesoplenty:palm_fence_gate:0, Пальмовая Калитка
biomesoplenty:redwood_fence_gate:0, Калитка из Красного Дерева
biomesoplenty:willow_fence_gate:0, Ивовая Калитка
biomesoplenty:pine_fence_gate:0, Сосновая Калитка
biomesoplenty:hellbark_fence_gate:0, Калитка из Адского Дерева
biomesoplenty:jacaranda_fence_gate:0, Жакарандовая Калитка
biomesoplenty:mahogany_fence_gate:0, Махагоновая Калитка
biomesoplenty:ebony_fence_gate:0, Эбеновая Калитка
biomesoplenty:eucalyptus_fence_gate:0, Эвкалиптовая Калитка
biomesoplenty:sacred_oak_door, Дверь из Священного Дуба
biomesoplenty:cherry_door, Вишневая Дверь
biomesoplenty:umbran_door, Дверь из Теневого Дерева
biomesoplenty:fir_door, Пихтовая Дверь
biomesoplenty:ethereal_door, Эфирная Дверь
biomesoplenty:magic_door, Магическая Дверь
biomesoplenty:mangrove_door, Мангровая Дверь
biomesoplenty:palm_door, Пальмовая Дверь
biomesoplenty:redwood_door, Дверь из Красного Дерева
biomesoplenty:willow_door, Дверь из Ивы
biomesoplenty:pine_door, Сосновая Дверь
biomesoplenty:hellbark_door, Дверь из Адской Дерева
biomesoplenty:jacaranda_door, Жакарандовая Дверь
biomesoplenty:mahogany_door, Махагоновая Дверь
biomesoplenty:ebony_door, Эбоновая Дверь
biomesoplenty:eucalyptus_door, Эвкалиптовая Дверь
biomesoplenty:coral:0, Розовый Коралл
biomesoplenty:coral:1, Оранжевый Коралл
biomesoplenty:coral:2, Синий Коралл
biomesoplenty:coral:3, Светящиеся Коралл
biomesoplenty:coral:4, Водоросли
biomesoplenty:seaweed:0, Ламинария
biomesoplenty:waterlily:0, Средняя Кувшинка
biomesoplenty:waterlily:1, Маленькая Кувшинка
biomesoplenty:waterlily:2, Крошечная Кувшинка
biomesoplenty:waterlily:3, Цветущая Лилия
biomesoplenty:bamboo:0, Бамбук
biomesoplenty:sapling_0:0, Саженец Пожелтевших Листьев
biomesoplenty:sapling_0:1, Саженец Покрасневших Листьев
biomesoplenty:sapling_0:2, Бамбуковый Саженец
biomesoplenty:sapling_0:3, Магический Саженец
biomesoplenty:sapling_0:4, Теневой Саженец
biomesoplenty:sapling_0:5, Мёртвый Саженец
biomesoplenty:sapling_0:6, Пихтовый Саженец
biomesoplenty:sapling_0:7, Эфирный Саженец
biomesoplenty:sapling_1:0, Изначальный Саженец
biomesoplenty:sapling_1:1, Розовая Вишнёвый Саженец
biomesoplenty:sapling_1:2, Белый Вишнёвый Саженец
biomesoplenty:sapling_1:3, Кленовый Саженец
biomesoplenty:sapling_1:4, Саженец из Адского Дерева
biomesoplenty:sapling_1:5, Саженец Цветущегой Дуба
